,degree,betweenness,closeness,eigenvector,degree_rank,betweenness_rank,closeness_rank,eigenvector_rank
Nova Ii / Frankie Raye,0.20858895705521474,0.00015433777846650924,0.5572649572649573,0.06646082318535132,92,209,90,77
Darkhawk / Chris Powel,0.2147239263803681,0.001001501706186472,0.5591766723842195,0.06482749450524532,87,96,85,79
Nomad Iii / Jack Monro,0.07975460122699386,0.0004141970692706629,0.4984709480122324,0.015946126298373223,256,151,246,281
"Robertson, Joe",0.15030674846625766,0.00227180378894872,0.5370675453047776,0.027866655829218132,137,61,134,191
Gargoyle Ii / Isaac Ch,0.11349693251533742,0.00014165262513933773,0.5292207792207793,0.03480970265234637,186,214,157,160
Namorita / Nita Prenti,0.2852760736196319,0.0017592694856351373,0.5831842576028623,0.08020831601265943,56,67,55,51
Iron Man Iv / James R.,0.19938650306748468,0.0005449022298790366,0.5544217687074829,0.057167184528679055,96,136,93,91
"Ross, Gen. Thaddeus",0.08895705521472393,1.9811500803749552e-05,0.5069984447900466,0.030212419271603893,231,307,220,181
"Harkness, Agatha",0.2361963190184049,0.00039433451572835605,0.5659722222222222,0.07347849901311851,76,155,74,63
"Carter, Peggy",0.10736196319018405,0.0005476321502317434,0.5030864197530864,0.025707059987131717,197,135,232,212
Hyperion,0.06134969325153374,4.1127431907228496e-05,0.500768049155146,0.017527931943987433,297,278,240,271
Living Lightning / Mig,0.2638036809815951,0.00040578805847382975,0.5749559082892416,0.08009170672356707,62,152,63,52
"Jones, Gabe",0.08588957055214724,0.00011220630554491942,0.5158227848101266,0.02686533602910496,239,225,203,201
"Osborn, Liz Allan",0.11656441717791412,0.0009887773768071178,0.5241157556270096,0.019037957199880266,177,97,176,258
"Leeds, Betty Brant",0.12576687116564417,0.001289931282280699,0.5241157556270096,0.020402525210086092,163,82,176,250
Sif,0.11656441717791412,0.000364064364672674,0.49319213313161875,0.021901540632884724,177,160,257,240
Dazzler Ii / Allison B,0.15950920245398773,0.0004375925514122131,0.5433333333333333,0.04484068027315871,130,145,118,117
Molecule Man / Owen Re,0.12269938650306748,3.094792153599217e-05,0.531810766721044,0.03638492611176439,169,296,149,151
Speedball / Robbie Bal,0.2361963190184049,0.0006503510870972533,0.5659722222222222,0.07164911003187754,76,125,74,68
Lizard / Dr. Curtis Co,0.147239263803681,0.0015919669515697468,0.5388429752066116,0.034997066901711574,142,72,129,159
Volcana / Marsha Rosen,0.11042944785276074,1.1695518351048815e-05,0.5283630470016207,0.032108383624046305,191,316,162,171
Lockheed,0.15337423312883436,0.0006138258037569153,0.5415282392026578,0.03699569150062019,135,128,124,148
Titania Ii / Mary Skee,0.13190184049079756,0.00018908030924349588,0.5344262295081967,0.03664189301100956,156,193,145,150
Boomer / Tabitha Smith,0.20245398773006135,0.0014288830850733671,0.5300813008130081,0.038420836889084556,95,78,155,146
"Summers, Nathan Chri",0.25460122699386506,0.003241630323976599,0.5729349736379613,0.05419675213413748,67,50,65,96
"Summers, Madelyne Ma",0.11349693251533742,0.00011786350896176333,0.4836795252225519,0.026539261702646748,186,222,279,206
"Mactaggert, Moira Ki",0.2392638036809816,0.001733694970252385,0.555366269165247,0.045702948244829913,73,69,92,115
Cannonball Ii / Sam Gu,0.3374233128834356,0.008892800650981273,0.6014760147601476,0.06380482520785392,47,30,47,81
"Tilby, Trish / Patrici",0.10122699386503067,0.0001906388104185352,0.5109717868338558,0.024456417758308417,204,191,213,226
Skids / Sally Blevins,0.09815950920245399,0.00013928852349639052,0.4787077826725404,0.018131054012033774,212,216,291,269
Wolfsbane / Rahne Sinc,0.3558282208588957,0.0054558442745160285,0.6082089552238806,0.07886691240878653,43,39,43,54
Leech,0.08588957055214724,0.00036392045455498957,0.4773060029282577,0.01470283007469488,239,161,294,289
Mirage Ii / Danielle M,0.17791411042944785,0.0015166876772218813,0.5478991596638656,0.031505323206077775,112,75,106,175
Gambit / Remy Lebeau,0.37116564417177916,0.004682915187505294,0.6139359698681732,0.09031923013938284,40,42,40,41
Jubilee / Jubilation L,0.18098159509202455,0.0008666018971438945,0.5258064516129032,0.039019529798949286,108,104,169,143
Strong Guy / Guido Car,0.2852760736196319,0.0014619098313818745,0.5769911504424778,0.07606797560695333,56,77,61,60
