,degree,betweenness,closeness,eigenvector,degree_rank,betweenness_rank,closeness_rank,eigenvector_rank
AVALANCHE / DOMINIC PE,0.0443611371446423,0.0009459742185085562,0.4847429393503445,0.033561280073433584,195,254,193,204
AVANDALIA,0.0020306154326772885,2.029201653766241e-07,0.37421089548749126,0.0012429947723247953,4200,3475,3256,4215
AVATAR II / PRINCESS A,0.0006248047485160887,7.508499255117455e-09,0.3426461143224149,0.00037921255611048007,6020,3980,5648,5682
AVATAR,0.0021868166198063103,0.0,0.3952339795036424,0.0037947677244749996,4042,4067,2029,2312
AVIA,0.008122461730709154,1.2367096376540209e-05,0.4004754159889904,0.007174517133265301,1488,1824,1789,1407
AVIOS,0.012339893783192751,7.007006629560696e-05,0.44992620704195657,0.014753988654043855,947,1006,610,706
AVIUS,0.004217432052483598,1.4229494439167597e-06,0.37883898455529913,0.004340562603889217,2569,2882,2899,2103
"AVRIL, SALLY",0.005310840362386754,1.5121662772883465e-05,0.4060894386298763,0.004155433425217351,2184,1723,1598,2172
"AVRIL, YVETTE",0.0010934083099031551,0.0,0.3684816392310349,0.0010429471236103349,5492,4067,3843,4487
A,0.0012496094970321774,0.0,0.3628017681060864,0.0014469107727750495,5271,4067,4353,3931
AWESOME ANDROID,0.005154639175257732,2.7813812431942094e-06,0.41321887303943716,0.006066673160090659,2237,2598,1363,1614
AXE / ,0.010153077163386441,1.4415096468126278e-05,0.404141152705006,0.008952995045171636,1193,1749,1656,1149
AXIS / ,0.0023430178069353325,0.0,0.3122774498804936,0.0002536106981282221,3856,4067,6322,5995
"AYALA, AWILDA",0.002655420181193377,1.0482809110457646e-06,0.35456357997341603,0.0010101338249094223,3591,2986,4819,4573
"AYALA, FILIPPO",0.0023430178069353325,7.595749662218494e-07,0.3469354576491627,0.0007575106607093456,3856,3092,5305,4986
"AYALA, MRS.",0.002655420181193377,1.0482809110457646e-06,0.35456357997341603,0.0010101338249094212,3591,2986,4819,4574
"AYALA, NESTOR",0.0020306154326772885,0.0,0.3537602917610654,0.0008919704398914396,4200,4067,4871,4785
AYESHA,0.0021868166198063103,1.91083135764657e-08,0.37244749549130257,0.0024276970308582664,4042,3900,3374,3002
A'YIN,0.0032802249297094657,1.3074904123390962e-07,0.3633164973611032,0.002884711122324406,3094,3558,4320,2732
AZAZEL,0.002655420181193377,0.0,0.368566493955095,0.001267028767541711,3591,4067,3832,4168
AZAZEL II,0.0010934083099031551,0.0,0.33523590092684713,0.00015599011704037316,5492,4067,5966,6206
AZIR,0.002499218994064355,1.9444579733402003e-07,0.3456990118256925,0.0009905599767953473,3730,3485,5385,4612
AZOPARDI,0.00031240237425804435,0.0,0.268935097668557,6.593516884301239e-06,6269,4067,6383,6391
AZOR,0.0007810059356451108,0.0,0.36055417886911467,0.0008929682799122709,5841,4067,4474,4782
AZRAEL,0.00015620118712902218,0.0,0.3506024096385542,0.0003267285658607025,6354,4067,5136,5806
AZURE,0.0012496094970321774,0.0,0.36360538422218436,0.0013676998339099702,5271,4067,4294,4026
BAAL II,0.0009372071227741331,0.0,0.3522227112676056,0.0007185553377977995,5676,4067,4998,5050
BAAL,0.0007810059356451108,0.0,0.3384794332240668,0.00040826637989759473,5841,4067,5850,5611
BACILLUS,0.0009372071227741331,0.0,0.34461969101577217,0.00032555987441537144,5676,4067,5491,5812
"BADALAMENTE, JESUS",0.008591065292096219,0.00028849388879571635,0.4107795957651588,0.005309023803022256,1414,502,1440,1819
"BADALINO, LT. MICHAE",0.002967822555451421,3.790178271000302e-06,0.35481904339633097,0.0006653756402759769,3351,2453,4792,5146
"BAILEY, GAILYN",0.002655420181193377,8.731264678460796e-07,0.367255621844883,0.002329014971022784,3591,3053,3981,3073
"BAILEY, JOEY",0.002655420181193377,8.731264678460796e-07,0.367255621844883,0.002329014971022782,3591,3053,3981,3074
"BAILEY, SARA GREY",0.007341455795064043,1.3426623178246226e-06,0.39363010329562226,0.0075096444388220674,1640,2903,2096,1352
"BAIRD, DR.",0.0020306154326772885,0.0,0.38550009032335764,0.0024185270083544974,4200,4067,2510,3005
"BAKER, ANNE-MARIE",0.006404248672289909,7.531796866786804e-06,0.395112016293279,0.00421293968466904,1854,2088,2033,2154
BAKER,0.001718213058419244,4.8805245158263455e-09,0.3441380422512498,0.000741372750845757,4561,4027,5550,5008
BALABAN / ,0.0018744142455482662,0.0,0.38360596800287616,0.00166511560240456,4385,4067,2613,3647
BALDER [ASGARDIAN],0.05607622617931896,0.0016332258636744623,0.4852941176470588,0.03796996405038136,141,184,188,154
"BALDWIN, JUSTIN",0.012339893783192751,0.00022605514429241817,0.4403934787094999,0.013257877446207945,947,567,764,795
"BALDWIN, MADELYNE MA",0.023586379256482347,0.0007087697926204423,0.4631746491101143,0.018481458058413246,446,297,426,520
"BALE, EMERSON",0.006404248672289909,1.466412040235724e-05,0.43669849931787175,0.008221746400788188,1854,1740,832,1253
"BALLANTINE, DEVON",0.0037488284910965324,8.378875876150201e-07,0.380121125757036,0.00237815919821678,2830,3066,2825,3028
"BALLANTINE, KAYLA",0.03514526710402999,0.0008581694438952399,0.4774049217002237,0.026484547466465138,273,267,262,305
"BALLANTINE, MR.",0.0031240237425804434,0.0,0.3750878837590813,0.0016624215750039204,3214,4067,3204,3648
"BALLANTINE, MRS.",0.0031240237425804434,0.0,0.3750878837590813,0.0016624215750039202,3214,4067,3204,3649
BALOR,0.00359262730396751,2.354858446875707e-06,0.39877912046841907,0.003809840516132423,2918,2680,1857,2309
BAMBI,0.011090284286160575,1.9504435244021174e-05,0.42388929351784416,0.007916737198048815,1080,1600,1076,1290
"BANCROFT, MARTINE",0.005935645110902842,0.00010994534722455223,0.4100166517228129,0.005065988044701115,1994,819,1465,1901
BANDIT / ,0.004061230865354577,6.516540274444084e-06,0.3679310344827586,0.0030076202271555595,2650,2164,3902,2662
"BANK, IRVING",0.0006248047485160887,0.0,0.33910694422374066,0.0002847762271882233,6020,4067,5838,5921
"BANKS, SHARON",0.0060918462980318645,2.946849342567848e-06,0.39759036144578314,0.005073583067376296,1940,2565,1912,1898
"BANNER, BETTY ROSS T",0.054826616682286784,0.0031300484379001917,0.49401960027779923,0.0386943622848762,147,106,120,149
"BANNERJEE, DR.",0.0015620118712902217,0.0,0.3423895603807894,0.0008195346262328888,4812,4067,5669,4896
"BANNON, LANCE",0.022024367385192128,0.0001253147294729857,0.43879369431117204,0.01391770212135386,495,764,791,756
BANSHEE 2013,0.0031240237425804434,0.0,0.38577884905091897,0.003601680284121608,3214,4067,2494,2398
BANSHEE II,0.006560449859418931,4.565984037608563e-05,0.4096755615281244,0.007245350535846927,1811,1192,1478,1399
BANSHEE / SEAN CASSIDY,0.08294283036551077,0.004853022842720211,0.49887010052209146,0.044366274890723124,71,72,101,109
BANTAM / ,0.005310840362386754,7.790052518472348e-05,0.3716259360306496,0.003495358167115701,2184,962,3470,2450
"BANTOCK, LT. OLIVER",0.002499218994064355,0.0,0.34411954418404644,0.0010349046229114376,3730,4067,5556,4498
"BAPTISTE, TANTE MATT",0.0007810059356451108,0.0,0.33930464278142886,0.00022242511467588383,5841,4067,5827,6046
BARAK,0.0032802249297094657,1.3074904123390962e-07,0.3633164973611032,0.002884711122324411,3094,3558,4320,2730
"BARBAROSSA, MARIO",0.0014058106841611997,0.0,0.3420419939092803,0.0002927483212229801,5057,4067,5706,5903
"BARBAROSSA, VINNIE",0.004217432052483598,7.093132154744633e-05,0.37552792116377287,0.0015064945279785061,2569,1002,3171,3863
BARBARUS,0.012496094970321774,3.065586740847035e-05,0.4407876618011567,0.013095984861242516,931,1367,752,813
BARIUM,0.005935645110902842,7.452221201640424e-07,0.39719568184638293,0.005522355851732566,1994,3096,1929,1752
"BARKER, MATTHEW T.",0.0012496094970321774,0.0,0.32876290248035744,0.00020210552261644183,5271,4067,6107,6105
BARKER,0.001718213058419244,4.183306727851153e-08,0.36776194852941174,0.0011435587655843247,4561,3766,3915,4365
BARNACLE / ,0.007029053420805998,3.9412784260394854e-06,0.4002000375070326,0.006764281275035203,1704,2434,1795,1487
"BARNETT, MIKE",0.0021868166198063103,3.124738391639753e-08,0.3826201290939517,0.002273755418616081,4042,3823,2677,3110
BARON BLOOD II / VICTO,0.005935645110902842,1.8449961683313528e-05,0.39148780040359565,0.00402321951302838,1994,1620,2189,2209
BARON BLOOD / JOHN FAL,0.011090284286160575,4.356471880930619e-05,0.41881460159623185,0.010819585298377146,1080,1214,1219,953
BARON BRIMSTONE / ,0.005154639175257732,2.356496306457841e-06,0.4135658914728682,0.00646677986318116,2237,2679,1355,1547
BARONESS ZEMO / HEIKE,0.004529834426741643,1.343210542968671e-07,0.3871084774458822,0.003995861756331038,2437,3552,2403,2220
