,degree,betweenness,closeness,eigenvector,degree_rank,betweenness_rank,closeness_rank,eigenvector_rank
SMILING TIGER / ,0.00641025641025641,4.479261120987724e-08,0.33248081841432225,0.004456115148745896,653,1293,1470,807
"SMITH, COL. TOLLIVER",0.001282051282051282,0.0,0.259222333000997,1.8523346634159434e-05,1804,1310,2284,2321
"SMITH, JOE",0.0008547008547008547,0.0,0.34754195752264966,0.0017546179845605264,1996,1310,946,1427
"SMITH, MARTY LOUIS L",0.00042735042735042735,0.0,0.27943635060902794,0.00037911521876020967,2176,1310,2156,2093
"SMITH, SIR DENIS NAY",0.003418803418803419,8.338953511632841e-06,0.27692307692307694,8.082305215798768e-05,1126,813,2166,2227
SMUGGLER II / CONRAD J,0.004700854700854701,0.0,0.3546529251288269,0.004002950529028169,861,1310,640,862
"SMYTHE, ALISTAIR ALP",0.005555555555555556,0.0006903866678850693,0.3487852138917871,0.0025275015748284155,754,284,865,1162
"SMYTHE, SPENCER",0.002564102564102564,0.0,0.34774855104770397,0.00273573309882313,1362,1310,924,1112
SNAKEBITE / ,0.003418803418803419,1.2435871034029882e-05,0.307006035161375,0.0004727827375330156,1126,754,1972,2046
SNOWBIRD / NARYA / ANNE,0.015384615384615385,0.00026998032223837055,0.4233761534286231,0.028661747284475052,275,374,149,187
"SNOW, CHARLIE",0.00042735042735042735,0.0,0.3470780183921685,0.001198773680479419,2176,1310,1012,1690
"SOAP, DET.",0.0029914529914529912,9.135323372176728e-07,0.29191616766467066,0.00018767279885756053,1243,1045,2100,2147
SOLO / ,0.001282051282051282,0.0,0.34718100890207715,0.0018019264853566081,1804,1310,976,1401
"SOMMERS, APRIL",0.002564102564102564,0.0,0.33466819221967964,0.002064301738250901,1362,1310,1407,1306
"SONDHEIM, ERICA",0.0038461538461538464,3.480065728895771e-06,0.3470780183921685,0.004540347023984831,1005,916,1012,794
SOPHIE,0.0029914529914529912,0.0,0.3473871733966746,0.0016365343280394492,1243,1310,955,1474
SORRENTINO / SORRENTIN,0.0017094017094017094,0.0,0.32191498142798186,0.0016686543685604039,1649,1310,1734,1461
"SOUTHERN, CANDY",0.010683760683760684,7.081778711005474e-05,0.36066584463625156,0.014388512467298609,382,550,513,351
SPACE PHANTOM,0.002564102564102564,0.0,0.36631183469004386,0.006891994499101347,1362,1310,425,607
"SPAR, DR. KATHERINE",0.0008547008547008547,0.0,0.33438125178622463,0.0014142807922064894,1996,1310,1423,1581
"SPAULDING, PETER",0.002136752136752137,9.135323372176728e-08,0.302599249967671,0.0004133389509848608,1489,1258,2018,2075
SPEEDBALL II / DARRION,0.008974358974358974,0.0001298374155585339,0.3553530751708428,0.005142525133171375,442,483,612,732
SPEEDBALL / ROBBIE BAL,0.04401709401709402,0.003988072012907908,0.45873358165065675,0.06591184959617326,81,105,59,70
SPHINX,0.008547008547008548,0.00019665700575031904,0.3490974190660898,0.009020629190269025,468,425,851,492
SPHINX II,0.003418803418803419,0.0,0.32865168539325845,0.0036524427570300173,1126,1310,1598,912
SPIDERCIDE,0.004273504273504274,2.4076250298483225e-07,0.34857738715924325,0.002631714725175919,937,1195,873,1139
SPIDER-MAN CLONE / BEN,0.029487179487179487,0.004566322896660958,0.3577981651376147,0.007175410486527208,144,92,562,589
SPIDER-MAN III / MARTH,0.00641025641025641,0.003705242276926119,0.35014215172826574,0.003150658477857927,653,112,811,1010
SPIDER-MAN / PETER PARKER,0.19316239316239317,0.13089383262283769,0.5314558255734726,0.12149240176568833,2,1,2,10
SPIDER-WOMAN II / JULI,0.04358974358974359,0.001670305855020998,0.45918367346938777,0.07130765006108185,82,183,58,59
SPIDER-WOMAN IV / CHAR,0.002136752136752137,0.0,0.34961900493052445,0.0021531947063120334,1489,1310,827,1273
SPIDER-WOMAN / JESSICA,0.025213675213675214,0.009008752955015263,0.4320531757754801,0.034692789639023225,167,56,120,155
SPIRAL,0.016666666666666666,0.00022508848618194927,0.36694370393602005,0.02173153219570664,256,398,423,247
SPITFIRE / LADY JACQUE,0.0059829059829059825,1.328279695058734e-05,0.36038811027260126,0.0038319332580149506,702,737,520,881
SPOOR / ANDREW HAMISH,0.001282051282051282,0.0,0.327914798206278,0.0021493370378121413,1804,1310,1620,1275
SPRAGG,0.0008547008547008547,0.0,0.3299027209925278,0.0011162068013590841,1996,1310,1524,1756
SPRITE,0.004700854700854701,9.610993573078329e-06,0.34076015727391873,0.0025851732091277365,861,797,1195,1150
SPROCKET,0.002136752136752137,0.0,0.3285132668819318,0.00273239469897645,1489,1310,1604,1114
SPUNJE,0.0017094017094017094,0.0,0.3322919625106504,0.0013595982555630467,1649,1310,1479,1604
SPYMASTER II,0.0008547008547008547,0.0,0.33829694954460027,0.001763116738525515,1996,1310,1284,1421
SPYMASTER / JAKE JORDA,0.0008547008547008547,0.0,0.33829694954460027,0.001763116738525515,1996,1310,1284,1421
SPYNE,0.0029914529914529912,6.256517003293925e-05,0.33519553072625696,0.0014905662993873398,1243,568,1388,1547
SSSESTHUGAR,0.002136752136752137,0.0,0.35251581801747517,0.002676092676083974,1489,1310,690,1127
